date,open,high,low,close,per_change,volume,traded_amount,symbol
2025-03-04,351.0,360.0,346.5,350.9,-0.03,108582.0,38211601.7,UNHPL
2025-03-05,344.0,359.0,344.0,352.9,0.57,87945.0,31043908.4,UNHPL
2025-03-06,358.0,358.0,347.0,350.0,-0.82,67549.0,23636107.7,UNHPL
2025-03-09,356.5,356.5,339.0,340.0,-2.86,86577.0,29717277.4,UNHPL
2025-03-10,345.0,345.0,335.3,337.0,-0.88,56483.0,19134324.6,UNHPL
2025-03-11,336.0,340.0,325.0,326.0,-3.26,74591.0,24723443.9,UNHPL
2025-03-12,325.0,332.0,325.0,330.0,1.23,70743.0,23230409.1,UNHPL
2025-03-16,323.5,333.5,323.5,325.9,-1.24,41564.0,13528307.2,UNHPL
2025-03-17,319.5,333.0,319.5,323.0,-0.89,63667.0,20726108.2,UNHPL
2025-03-18,328.3,328.3,317.0,318.5,-1.39,44798.0,14355345.5,UNHPL
2025-03-19,324.8,324.8,311.2,315.0,-1.1,82197.0,25879173.3,UNHPL
2025-03-20,314.0,321.3,309.1,318.36,1.07,40881.0,12924252.5,UNHPL
2025-03-23,312.0,319.0,303.0,307.11,-3.53,69432.0,21424478.0,UNHPL
2025-03-24,307.0,316.0,301.2,307.25,0.05,77500.0,24043173.9,UNHPL
2025-03-25,301.5,309.9,294.0,294.36,-4.2,74846.0,22220587.8,UNHPL
2025-03-26,290.0,303.0,290.0,298.41,1.38,60416.0,18070736.6,UNHPL
2025-03-27,304.0,307.9,300.0,305.23,2.29,45144.0,13736723.0,UNHPL
2025-03-30,300.0,322.9,299.7,317.4,3.99,84652.0,26819365.1,UNHPL
2025-04-01,316.5,320.0,309.0,314.06,-1.05,39790.0,12451907.8,UNHPL
2025-04-02,310.0,319.0,310.0,314.07,0.0,28045.0,8850471.1,UNHPL
2025-04-03,317.0,324.8,312.9,314.57,0.16,72252.0,23006588.6,UNHPL
2025-04-07,313.3,318.2,307.0,308.22,-2.02,35628.0,11114892.0,UNHPL
2025-04-08,314.0,314.0,300.0,306.49,-0.56,45910.0,13977932.1,UNHPL
2025-04-09,300.4,317.0,300.4,309.69,1.04,47671.0,14777550.4,UNHPL
2025-04-10,309.69,321.3,304.0,315.67,1.93,65030.0,20543529.0,UNHPL
